merchant_id,payment_month,mtu_type,txn_count,gmv,churn_month
G7GUQgidTfgis5,2023-06-01,Retained,1,20000.0,
G7NQllCJRrybCr,2023-06-01,Retained,2,1070.0,2023-07-01
GT7VECmcRMGFxm,2023-03-01,Retained,1,2500.0,
GX2kmC1N2KuJ0K,2021-09-01,Retained,1,420.0,2021-10-01
HCai8H48BIFwt0,2021-09-01,New,1,363.26,2021-10-01
HD5o2INyKA5yvc,2022-02-01,Retained,5,147500.0,
HD5o2INyKA5yvc,2022-04-01,Retained,10,154490.0,
HD5o2INyKA5yvc,2022-09-01,Retained,12,253110.0,
HD5o2INyKA5yvc,2023-03-01,Retained,13,227336.8,
ImogYPAvhb2AAq,2022-06-01,New,1,37000.0,2022-07-01
IwGnHhZjKM0qSp,2022-02-01,New,3,3.0,2022-03-01
Ixt4mMRobD3bPM,2022-03-01,New,1,100.0,
JKWNBtQ7BDfVYS,2022-09-01,Retained,2,28660.8,
JM5uIzXgitlcQ8,2023-03-01,Revived,1,49300.0,2023-04-01
JQrhIIKf6z7EQu,2023-06-01,Retained,3,1054.32,2023-07-01
JRqsTKBULUcR8L,2023-04-01,Revived,1,499.0,2023-05-01
JZEUmhppD1ZPHu,2022-06-01,New,1,21.0,2022-07-01
JZo4I6M1hY9uHC,2022-11-01,Retained,12,311137.4,
JykcTLrJvUHGDa,2023-03-01,Retained,43,661400.0,
K8YU7c94fNd50U,2022-09-01,New,4,241500.0,
K8YU7c94fNd50U,2022-11-01,Retained,4,96600.0,
KDOFLQBq0ILoAy,2022-09-01,New,2,1560.1,2022-10-01
BpwVhaaMSt2vTw,2021-10-01,Retained,1,1.0,
BpwVhaaMSt2vTw,2021-11-01,Retained,1,1.0,
CNoxEwowM0nMIT,2021-10-01,Retained,21,21.0,
CNoxEwowM0nMIT,2021-11-01,Retained,37,58.5,
CePGSLqim2y1zF,2021-09-01,Retained,1,102.95,
CePGSLqim2y1zF,2021-10-01,Retained,4,19010.0,
Ct9S7s3XDBZfGa,2023-04-01,Retained,23,218169.29,
Ct9S7s3XDBZfGa,2023-05-01,Retained,19,276055.95,
C2PpwQbHSHRULy,2021-09-01,New,3,3.0,
CTig9t8sSEbSC9,2021-09-01,Retained,2115,1058670.0,
CTig9t8sSEbSC9,2022-07-01,Retained,7373,3673460.0,
CTig9t8sSEbSC9,2022-08-01,Retained,921,472450.0,
Ck2Zqh2h13O4LC,2021-10-01,Retained,4,436994.0,
